Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
上る,のぼる,のぼらない,のぼった,のぼらなかった,のぼります,のぼりません,のぼりました,のぼりません でした,のぼれる,のぼれない,のぼって,のぼらないで,のぼれ,のぼる な,のぼろう,,のぼれば,のぼらなければ,のぼらせる,のぼらせない,のぼっちゃう,,のぼっちまう,,のぼり,,のぼりなさい,,のぼられる,のぼられない,のぼったら,のぼらなかったら,1475.0,分ける,わける
なくなる,なくなる,なくならない,なくなった,なくならなかった,なくなります,なくなりません,なくなりました,なくなりません でした,なくなれる,なくなれない,なくなって,なくならないで,なくなれ,なくなる な,なくなろう,,なくなれば,なくならなければ,なくならせる,なくならせない,なくなっちゃう,,なくなっちまう,,なくなり,,なくなりなさい,,なくなられる,なくなられない,なくなったら,なくならなかったら,1476.0,立ち上がる,たちあがる
落ち着く,おちつく,おちつかない,おちついた,おちつかなかった,おちつきます,おちつきません,おちつきました,おちつきません でした,おちつける,おちつけない,おちついて,おちつかないで,おちつけ,おちつく な,おちつこう,,おちつけば,おちつかなければ,おちつかせる,おちつかせない,おちついちゃう,,おちついちまう,,おちつき,,おちつきなさい,,おちつかれる,おちつかれない,おちついたら,おちつかなかったら,1477.0,訪れる,おとずれる
まとめる,まとめる,まとめない,まとめた,まとめなかった,まとめます,まとめません,まとめました,まとめません でした,まとめられる,まとめられない,まとめて,まとめないで,まとめよ,まとめる な,まとめよう,,まとめれば,まとめなければ,まとめさせる,まとめさせない,まとめちゃう,,まとめちまう,,まとめ,,まとめなさい,,まとめられる,まとめられない,まとめたら,まとめなかったら,1478.0,当てる,あてる
抜ける,ぬける,ぬけない,ぬけた,ぬけなかった,ぬけます,ぬけません,ぬけました,ぬけません でした,ぬけられる,ぬけられない,ぬけて,ぬけないで,ぬけよ,ぬける な,ぬけよう,,ぬければ,ぬけなければ,ぬけさせる,ぬけさせない,ぬけちゃう,,ぬけちまう,,ぬけ,,ぬけなさい,,ぬけられる,ぬけられない,ぬけたら,ぬけなかったら,1484.0,巡る,めぐる
取り上げる,とりあげる,とりあげない,とりあげた,とりあげなかった,とりあげます,とりあげません,とりあげました,とりあげません でした,とりあげられる,とりあげられない,とりあげて,とりあげないで,とりあげよ,とりあげる な,とりあげよう,,とりあげれば,とりあげなければ,とりあげさせる,とりあげさせない,とりあげちゃう,,とりあげちまう,,とりあげ,,とりあげなさい,,とりあげられる,とりあげられない,とりあげたら,とりあげなかったら,1488.0,焼く,やく
構う,かまう,かまわない,かまった,かまわなかった,かまいます,かまいません,かまいました,かまいません でした,かまえる,かまえない,かまって,かまわないで,かまえ,かまう な,かまおう,,かまえば,かまわなければ,かまわせる,かまわせない,かまっちゃう,,かまっちまう,,かまい,,かまいなさい,,かまわれる,かまわれない,かまったら,かまわなかったら,1490.0,伸ばす,のばす
戦う,たたかう,たたかわない,たたかった,たたかわなかった,たたかいます,たたかいません,たたかいました,たたかいません でした,たたかえる,たたかえない,たたかって,たたかわないで,たたかえ,たたかう な,たたかおう,,たたかえば,たたかわなければ,たたかわせる,たたかわせない,たたかっちゃう,,たたかっちまう,,たたかい,,たたかいなさい,,たたかわれる,たたかわれない,たたかったら,たたかわなかったら,1494.0,出会う,であう
悩む,なやむ,なやまない,なやんだ,なやまなかった,なやみます,なやみません,なやみました,なやみません でした,なやめる,なやめない,なやんで,なやまないで,なやめ,なやむ な,なやもう,,なやめば,なやまなければ,なやませる,なやませない,なやんじゃう,,なやんじまう,,なやみ,,なやみなさい,,なやまれる,なやまれない,なやんだら,なやまなかったら,1495.0,助ける,たすける
洗う,あらう,あらわない,あらった,あらわなかった,あらいます,あらいません,あらいました,あらいません でした,あらえる,あらえない,あらって,あらわないで,あらえ,あらう な,あらおう,,あらえば,あらわなければ,あらわせる,あらわせない,あらっちゃう,,あらっちまう,,あらい,,あらいなさい,,あらわれる,あらわれない,あらったら,あらわなかったら,1495.0,望む,のぞむ
