Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
住む,すむ,すまない,すんだ,すまなかった,すみます,すみません,すみました,すみません でした,すめる,すめない,すんで,すまないで,すめ,すむ な,すもう,,すめば,すまなければ,すませる,すませない,すんじゃう,,すんじまう,,すみ,,すみなさい,,すまれる,すまれない,すんだら,すまなかったら,550.0,進む,すすむ
伝える,つたえる,つたえない,つたえた,つたえなかった,つたえます,つたえません,つたえました,つたえません でした,つたえられる,つたえられない,つたえて,つたえないで,つたえよ,つたえる な,つたえよう,,つたえれば,つたえなければ,つたえさせる,つたえさせない,つたえちゃう,,つたえちまう,,つたえ,,つたえなさい,,つたえられる,つたえられない,つたえたら,つたえなかったら,551.0,渡る,わたる
動く,うごく,うごかない,うごいた,うごかなかった,うごきます,うごきません,うごきました,うごきません でした,うごける,うごけない,うごいて,うごかないで,うごけ,うごく な,うごこう,,うごけば,うごかなければ,うごかせる,うごかせない,うごいちゃう,,うごいちまう,,うごき,,うごきなさい,,うごかれる,うごかれない,うごいたら,うごかなかったら,553.0,選ぶ,えらぶ
決める,きめる,きめない,きめた,きめなかった,きめます,きめません,きめました,きめません でした,きめられる,きめられない,きめて,きめないで,きめよ,きめる な,きめよう,,きめれば,きめなければ,きめさせる,きめさせない,きめちゃう,,きめちまう,,きめ,,きめなさい,,きめられる,きめられない,きめたら,きめなかったら,563.0,走る,はしる
勧める,すすめる,すすめない,すすめた,すすめなかった,すすめます,すすめません,すすめました,すすめません でした,すすめられる,すすめられない,すすめて,すすめないで,すすめよ,すすめる な,すすめよう,,すすめれば,すすめなければ,すすめさせる,すすめさせない,すすめちゃう,,すすめちまう,,すすめ,,すすめなさい,,すすめられる,すすめられない,すすめたら,すすめなかったら,567.0,現われる,あらわれる
気づく,きづく,きづかない,きづいた,きづかなかった,きづきます,きづきません,きづきました,きづきません でした,きづける,きづけない,きづいて,きづかないで,きづけ,きづく な,きづこう,,きづけば,きづかなければ,きづかせる,きづかせない,きづいちゃう,,きづいちまう,,きづき,,きづきなさい,,きづかれる,きづかれない,きづいたら,きづかなかったら,570.0,住む,すむ
描く,えがく,えがかない,えがいた,えがかなかった,えがきます,えがきません,えがきました,えがきません でした,えがける,えがけない,えがいて,えがかないで,えがけ,えがく な,えがこう,,えがけば,えがかなければ,えがかせる,えがかせない,えがいちゃう,,えがいちまう,,えがき,,えがきなさい,,えがかれる,えがかれない,えがいたら,えがかなかったら,592.0,伝える,つたえる
覚える,おぼえる,おぼえない,おぼえた,おぼえなかった,おぼえます,おぼえません,おぼえました,おぼえません でした,おぼえられる,おぼえられない,おぼえて,おぼえないで,おぼえよ,おぼえる な,おぼえよう,,おぼえれば,おぼえなければ,おぼえさせる,おぼえさせない,おぼえちゃう,,おぼえちまう,,おぼえ,,おぼえなさい,,おぼえられる,おぼえられない,おぼえたら,おぼえなかったら,593.0,動く,うごく
打つ,ぶつ,ぶたない,ぶった,ぶたなかった,ぶちます,ぶちません,ぶちました,ぶちません でした,ぶてる,ぶてない,ぶって,ぶたないで,ぶて,ぶつ な,ぶとう,,ぶてば,ぶたなければ,ぶたせる,ぶたせない,ぶっちゃう,,ぶっちまう,,ぶち,,ぶちなさい,,ぶたれる,ぶたれない,ぶったら,ぶたなかったら,596.0,決める,きめる
なす,なす,なさない,なした,なさなかった,なします,なしません,なしました,なしません でした,なせる,なせない,なして,なさないで,なせ,なす な,なそう,,なせば,なさなければ,なさせる,なさせない,なしちゃう,,なしちまう,,なし,,なしなさい,,なされる,なされない,なしたら,なさなかったら,605.0,勧める,すすめる
開ける,はだける,はだけない,はだけた,はだけなかった,はだけます,はだけません,はだけました,はだけません でした,はだけられる,はだけられない,はだけて,はだけないで,はだけよ,はだける な,はだけよう,,はだければ,はだけなければ,はだけさせる,はだけさせない,はだけちゃう,,はだけちまう,,はだけ,,はだけなさい,,はだけられる,はだけられない,はだけたら,はだけなかったら,607.0,気付く,きづく
向ける,むける,むけない,むけた,むけなかった,むけます,むけません,むけました,むけません でした,むけられる,むけられない,むけて,むけないで,むけよ,むける な,むけよう,,むければ,むけなければ,むけさせる,むけさせない,むけちゃう,,むけちまう,,むけ,,むけなさい,,むけられる,むけられない,むけたら,むけなかったら,608.0,描く,えがく
殺す,ころす,ころさない,ころした,ころさなかった,ころします,ころしません,ころしました,ころしません でした,ころせる,ころせない,ころして,ころさないで,ころせ,ころす な,ころそう,,ころせば,ころさなければ,ころさせる,ころさせない,ころしちゃう,,ころしちまう,,ころし,,ころしなさい,,ころされる,ころされない,ころしたら,ころさなかったら,617.0,覚える,おぼえる
語る,かたる,かたらない,かたった,かたらなかった,かたります,かたりません,かたりました,かたりません でした,かたれる,かたれない,かたって,かたらないで,かたれ,かたる な,かたろう,,かたれば,かたらなければ,かたらせる,かたらせない,かたっちゃう,,かたっちまう,,かたり,,かたりなさい,,かたられる,かたられない,かたったら,かたらなかったら,622.0,打つ,うつ
合わせる,あわせる,あわせない,あわせた,あわせなかった,あわせます,あわせません,あわせました,あわせません でした,あわせられる,あわせられない,あわせて,あわせないで,あわせよ,あわせる な,あわせよう,,あわせれば,あわせなければ,あわせさせる,あわせさせない,あわせちゃう,,あわせちまう,,あわせ,,あわせなさい,,あわせられる,あわせられない,あわせたら,あわせなかったら,631.0,成す,なす
用いる,もちいる,もちいない,もちいた,もちいなかった,もちいます,もちいません,もちいました,もちいません でした,もちいられる,もちいられない,もちいて,もちいないで,もちいよ,もちいる な,もちいよう,,もちいれば,もちいなければ,もちいさせる,もちいさせない,もちいちゃう,,もちいちまう,,もちい,,もちいなさい,,もちいられる,もちいられない,もちいたら,もちいなかったら,642.0,開ける,あける
連れる,つれる,つれない,つれた,つれなかった,つれます,つれません,つれました,つれません でした,つれられる,つれられない,つれて,つれないで,つれよ,つれる な,つれよう,,つれれば,つれなければ,つれさせる,つれさせない,つれちゃう,,つれちまう,,つれ,,つれなさい,,つれられる,つれられない,つれたら,つれなかったら,648.0,向ける,むける
異なる,ことなる,ことならない,ことなった,ことならなかった,ことなります,ことなりません,ことなりました,ことなりません でした,ことなれる,ことなれない,ことなって,ことならないで,ことなれ,ことなる な,ことなろう,,ことなれば,ことならなければ,ことならせる,ことならせない,ことなっちゃう,,ことなっちまう,,ことなり,,ことなりなさい,,ことなられる,ことなられない,ことなったら,ことならなかったら,650.0,殺す,ころす
離れる,はなれる,はなれない,はなれた,はなれなかった,はなれます,はなれません,はなれました,はなれません でした,はなれられる,はなれられない,はなれて,はなれないで,はなれよ,はなれる な,はなれよう,,はなれれば,はなれなければ,はなれさせる,はなれさせない,はなれちゃう,,はなれちまう,,はなれ,,はなれなさい,,はなれられる,はなれられない,はなれたら,はなれなかったら,653.0,語る,かたる
残す,のこす,のこさない,のこした,のこさなかった,のこします,のこしません,のこしました,のこしません でした,のこせる,のこせない,のこして,のこさないで,のこせ,のこす な,のこそう,,のこせば,のこさなければ,のこさせる,のこさせない,のこしちゃう,,のこしちまう,,のこし,,のこしなさい,,のこされる,のこされない,のこしたら,のこさなかったら,,,
探す,さがす,さがさない,さがした,さがさなかった,さがします,さがしません,さがしました,さがしません でした,さがせる,さがせない,さがして,さがさないで,さがせ,さがす な,さがそう,,さがせば,さがさなければ,さがさせる,さがさせない,さがしちゃう,,さがしちまう,,さがし,,さがしなさい,,さがされる,さがされない,さがしたら,さがさなかったら,662.0,合わせる,あわせる
至る,いたる,いたらない,いたった,いたらなかった,いたります,いたりません,いたりました,いたりません でした,いたれる,いたれない,いたって,いたらないで,いたれ,いたる な,いたろう,,いたれば,いたらなければ,いたらせる,いたらせない,いたっちゃう,,いたっちまう,,いたり,,いたりなさい,,いたられる,いたられない,いたったら,いたらなかったら,669.0,用いる,もちいる
経つ,たつ,たたない,たった,たたなかった,たちます,たちません,たちました,たちません でした,たてる,たてない,たって,たたないで,たて,たつ な,たとう,,たてば,たたなければ,たたせる,たたせない,たっちゃう,,たっちまう,,たち,,たちなさい,,たたれる,たたれない,たったら,たたなかったら,673.0,連れる,つれる
似る,にる,にない,にた,になかった,にます,にません,にました,にません でした,にられる,にられない,にて,にないで,によ,にる な,によう,,にれば,になければ,にさせる,にさせない,にちゃう,,にちまう,,に,,になさい,,にられる,にられない,にたら,になかったら,683.0,異なる,ことなる
守る,まもる,まもらない,まもった,まもらなかった,まもります,まもりません,まもりました,まもりません でした,まもれる,まもれない,まもって,まもらないで,まもれ,まもる な,まもろう,,まもれば,まもらなければ,まもらせる,まもらせない,まもっちゃう,,まもっちまう,,まもり,,まもりなさい,,まもられる,まもられない,まもったら,まもらなかったら,693.0,離れる,はなれる
困る,こまる,こまらない,こまった,こまらなかった,こまります,こまりません,こまりました,こまりません でした,こまれる,こまれない,こまって,こまらないで,こまれ,こまる な,こまろう,,こまれば,こまらなければ,こまらせる,こまらせない,こまっちゃう,,こまっちまう,,こまり,,こまりなさい,,こまられる,こまられない,こまったら,こまらなかったら,698.0,残す,のこす
加える,くわえる,くわえない,くわえた,くわえなかった,くわえます,くわえません,くわえました,くわえません でした,くわえられる,くわえられない,くわえて,くわえないで,くわえよ,くわえる な,くわえよう,,くわえれば,くわえなければ,くわえさせる,くわえさせない,くわえちゃう,,くわえちまう,,くわえ,,くわえなさい,,くわえられる,くわえられない,くわえたら,くわえなかったら,699.0,探す,さがす
調べる,しらべる,しらべない,しらべた,しらべなかった,しらべます,しらべません,しらべました,しらべません でした,しらべられる,しらべられない,しらべて,しらべないで,しらべよ,しらべる な,しらべよう,,しらべれば,しらべなければ,しらべさせる,しらべさせない,しらべちゃう,,しらべちまう,,しらべ,,しらべなさい,,しらべられる,しらべられない,しらべたら,しらべなかったら,700.0,至る,いたる
驚く,おどろく,おどろかない,おどろいた,おどろかなかった,おどろきます,おどろきません,おどろきました,おどろきません でした,おどろける,おどろけない,おどろいて,おどろかないで,おどろけ,おどろく な,おどろこう,,おどろけば,おどろかなければ,おどろかせる,おどろかせない,おどろいちゃう,,おどろいちまう,,おどろき,,おどろきなさい,,おどろかれる,おどろかれない,おどろいたら,おどろかなかったら,702.0,経つ,たつ
失う,うしなう,うしなわない,うしなった,うしなわなかった,うしないます,うしないません,うしないました,うしないません でした,うしなえる,うしなえない,うしなって,うしなわないで,うしなえ,うしなう な,うしなおう,,うしなえば,うしなわなければ,うしなわせる,うしなわせない,うしなっちゃう,,うしなっちまう,,うしない,,うしないなさい,,うしなわれる,うしなわれない,うしなったら,うしなわなかったら,703.0,似る,にる
合う,あう,あわない,あった,あわなかった,あいます,あいません,あいました,あいません でした,あえる,あえない,あって,あわないで,あえ,あう な,あおう,,あえば,あわなければ,あわせる,あわせない,あっちゃう,,あっちまう,,あい,,あいなさい,,あわれる,あわれない,あったら,あわなかったら,712.0,守る,まもる
なくなる,なくなる,なくならない,なくなった,なくならなかった,なくなります,なくなりません,なくなりました,なくなりません でした,なくなれる,なくなれない,なくなって,なくならないで,なくなれ,なくなる な,なくなろう,,なくなれば,なくならなければ,なくならせる,なくならせない,なくなっちゃう,,なくなっちまう,,なくなり,,なくなりなさい,,なくなられる,なくなられない,なくなったら,なくならなかったら,714.0,困る,こまる
増える,ふえる,ふえない,ふえた,ふえなかった,ふえます,ふえません,ふえました,ふえません でした,ふえられる,ふえられない,ふえて,ふえないで,ふえよ,ふえる な,ふえよう,,ふえれば,ふえなければ,ふえさせる,ふえさせない,ふえちゃう,,ふえちまう,,ふえ,,ふえなさい,,ふえられる,ふえられない,ふえたら,ふえなかったら,717.0,加える,くわえる
上がる,あがる,あがらない,あがった,あがらなかった,あがります,あがりません,あがりました,あがりません でした,あがれる,あがれない,あがって,あがらないで,あがれ,あがる な,あがろう,,あがれば,あがらなければ,あがらせる,あがらせない,あがっちゃう,,あがっちまう,,あがり,,あがりなさい,,あがられる,あがられない,あがったら,あがらなかったら,720.0,調べる,しらべる
起きる,おきる,おきない,おきた,おきなかった,おきます,おきません,おきました,おきません でした,おきられる,おきられない,おきて,おきないで,おきよ,おきる な,おきよう,,おきれば,おきなければ,おきさせる,おきさせない,おきちゃう,,おきちまう,,おき,,おきなさい,,おきられる,おきられない,おきたら,おきなかったら,,,
座る,すわる,すわらない,すわった,すわらなかった,すわります,すわりません,すわりました,すわりません でした,すわれる,すわれない,すわって,すわらないで,すわれ,すわる な,すわろう,,すわれば,すわらなければ,すわらせる,すわらせない,すわっちゃう,,すわっちまう,,すわり,,すわりなさい,,すわられる,すわられない,すわったら,すわらなかったら,733.0,驚く,おどろく
聞こえる,きこえる,きこえない,きこえた,きこえなかった,きこえます,きこえません,きこえました,きこえません でした,きこえられる,きこえられない,きこえて,きこえないで,きこえよ,きこえる な,きこえよう,,きこえれば,きこえなければ,きこえさせる,きこえさせない,きこえちゃう,,きこえちまう,,きこえ,,きこえなさい,,きこえられる,きこえられない,きこえたら,きこえなかったら,739.0,失う,うしなう
思い出す,おもいだす,おもいださない,おもいだした,おもいださなかった,おもいだします,おもいだしません,おもいだしました,おもいだしません でした,おもいだせる,おもいだせない,おもいだして,おもいださないで,おもいだせ,おもいだす な,おもいだそう,,おもいだせば,おもいださなければ,おもいださせる,おもいださせない,おもいだしちゃう,,おもいだしちまう,,おもいだし,,おもいだしなさい,,おもいだされる,おもいだされない,おもいだしたら,おもいださなかったら,741.0,合う,あう
許す,ゆるす,ゆるさない,ゆるした,ゆるさなかった,ゆるします,ゆるしません,ゆるしました,ゆるしません でした,ゆるせる,ゆるせない,ゆるして,ゆるさないで,ゆるせ,ゆるす な,ゆるそう,,ゆるせば,ゆるさなければ,ゆるさせる,ゆるさせない,ゆるしちゃう,,ゆるしちまう,,ゆるし,,ゆるしなさい,,ゆるされる,ゆるされない,ゆるしたら,ゆるさなかったら,742.0,無くなる,なくなる
落ちる,おちる,おちない,おちた,おちなかった,おちます,おちません,おちました,おちません でした,おちられる,おちられない,おちて,おちないで,おちよ,おちる な,おちよう,,おちれば,おちなければ,おちさせる,おちさせない,おちちゃう,,おちちまう,,おち,,おちなさい,,おちられる,おちられない,おちたら,おちなかったら,743.0,増える,ふえる
繰り返す,くりかえす,くりかえさない,くりかえした,くりかえさなかった,くりかえします,くりかえしません,くりかえしました,くりかえしません でした,くりかえせる,くりかえせない,くりかえして,くりかえさないで,くりかえせ,くりかえす な,くりかえそう,,くりかえせば,くりかえさなければ,くりかえさせる,くりかえさせない,くりかえしちゃう,,くりかえしちまう,,くりかえし,,くりかえしなさい,,くりかえされる,くりかえされない,くりかえしたら,くりかえさなかったら,751.0,上がる,あがる
回る,みる,みない,みた,みなかった,みます,みません,みました,みません でした,みられる,みられない,みて,みないで,みよ,みる な,みよう,,みれば,みなければ,みさせる,みさせない,みちゃう,,みちまう,,み,,みなさい,,みられる,みられない,みたら,みなかったら,763.0,起きる,おきる
起こす,おこす,おこさない,おこした,おこさなかった,おこします,おこしません,おこしました,おこしません でした,おこせる,おこせない,おこして,おこさないで,おこせ,おこす な,おこそう,,おこせば,おこさなければ,おこさせる,おこさせない,おこしちゃう,,おこしちまう,,おこし,,おこしなさい,,おこされる,おこされない,おこしたら,おこさなかったら,764.0,座る,すわる
決まる,きまる,きまらない,きまった,きまらなかった,きまります,きまりません,きまりました,きまりません でした,きまれる,きまれない,きまって,きまらないで,きまれ,きまる な,きまろう,,きまれば,きまらなければ,きまらせる,きまらせない,きまっちゃう,,きまっちまう,,きまり,,きまりなさい,,きまられる,きまられない,きまったら,きまらなかったら,765.0,聞こえる,きこえる
寝る,ねる,ねない,ねた,ねなかった,ねます,ねません,ねました,ねません でした,ねられる,ねられない,ねて,ねないで,ねよ,ねる な,ねよう,,ねれば,ねなければ,ねさせる,ねさせない,ねちゃう,,ねちまう,,ね,,ねなさい,,ねられる,ねられない,ねたら,ねなかったら,785.0,思い出す,おもいだす
比べる,くらべる,くらべない,くらべた,くらべなかった,くらべます,くらべません,くらべました,くらべません でした,くらべられる,くらべられない,くらべて,くらべないで,くらべよ,くらべる な,くらべよう,,くらべれば,くらべなければ,くらべさせる,くらべさせない,くらべちゃう,,くらべちまう,,くらべ,,くらべなさい,,くらべられる,くらべられない,くらべたら,くらべなかったら,786.0,許す,ゆるす
限る,かぎる,かぎらない,かぎった,かぎらなかった,かぎります,かぎりません,かぎりました,かぎりません でした,かぎれる,かぎれない,かぎって,かぎらないで,かぎれ,かぎる な,かぎろう,,かぎれば,かぎらなければ,かぎらせる,かぎらせない,かぎっちゃう,,かぎっちまう,,かぎり,,かぎりなさい,,かぎられる,かぎられない,かぎったら,かぎらなかったら,789.0,落ちる,おちる
降る,ふる,ふらない,ふった,ふらなかった,ふります,ふりません,ふりました,ふりません でした,ふれる,ふれない,ふって,ふらないで,ふれ,ふる な,ふろう,,ふれば,ふらなければ,ふらせる,ふらせない,ふっちゃう,,ふっちまう,,ふり,,ふりなさい,,ふられる,ふられない,ふったら,ふらなかったら,794.0,繰り返す,くりかえす
表す,ひょうす,ひょうさない,ひょうした,ひょうさなかった,ひょうします,ひょうしません,ひょうしました,ひょうしません でした,ひょうせる,ひょうせない,ひょうして,ひょうさないで,ひょうせ,ひょうす な,ひょうそう,,ひょうせば,ひょうさなければ,ひょうさせる,ひょうさせない,ひょうしちゃう,,ひょうしちまう,,ひょうし,,ひょうしなさい,,ひょうされる,ひょうされない,ひょうしたら,ひょうさなかったら,802.0,回る,まわる
通す,とおす,とおさない,とおした,とおさなかった,とおします,とおしません,とおしました,とおしません でした,とおせる,とおせない,とおして,とおさないで,とおせ,とおす な,とおそう,,とおせば,とおさなければ,とおさせる,とおさせない,とおしちゃう,,とおしちまう,,とおし,,とおしなさい,,とおされる,とおされない,とおしたら,とおさなかったら,803.0,起こす,おこす
いたす,いたす,いたさない,いたした,いたさなかった,いたします,いたしません,いたしました,いたしません でした,いたせる,いたせない,いたして,いたさないで,いたせ,いたす な,いたそう,,いたせば,いたさなければ,いたさせる,いたさせない,いたしちゃう,,いたしちまう,,いたし,,いたしなさい,,いたされる,いたされない,いたしたら,いたさなかったら,,,
基づく,もとづく,もとづかない,もとづいた,もとづかなかった,もとづきます,もとづきません,もとづきました,もとづきません でした,もとづける,もとづけない,もとづいて,もとづかないで,もとづけ,もとづく な,もとづこう,,もとづけば,もとづかなければ,もとづかせる,もとづかせない,もとづいちゃう,,もとづいちまう,,もとづき,,もとづきなさい,,もとづかれる,もとづかれない,もとづいたら,もとづかなかったら,827.0,決まる,きまる
消える,きえる,きえない,きえた,きえなかった,きえます,きえません,きえました,きえません でした,きえられる,きえられない,きえて,きえないで,きえよ,きえる な,きえよう,,きえれば,きえなければ,きえさせる,きえさせない,きえちゃう,,きえちまう,,きえ,,きえなさい,,きえられる,きえられない,きえたら,きえなかったら,828.0,寝る,ねる
尋ねる,たずねる,たずねない,たずねた,たずねなかった,たずねます,たずねません,たずねました,たずねません でした,たずねられる,たずねられない,たずねて,たずねないで,たずねよ,たずねる な,たずねよう,,たずねれば,たずねなければ,たずねさせる,たずねさせない,たずねちゃう,,たずねちまう,,たずね,,たずねなさい,,たずねられる,たずねられない,たずねたら,たずねなかったら,828.0,比べる,くらべる
見つける,みつける,みつけない,みつけた,みつけなかった,みつけます,みつけません,みつけました,みつけません でした,みつけられる,みつけられない,みつけて,みつけないで,みつけよ,みつける な,みつけよう,,みつければ,みつけなければ,みつけさせる,みつけさせない,みつけちゃう,,みつけちまう,,みつけ,,みつけなさい,,みつけられる,みつけられない,みつけたら,みつけなかったら,831.0,限る,かぎる
触れる,ふれる,ふれない,ふれた,ふれなかった,ふれます,ふれません,ふれました,ふれません でした,ふれられる,ふれられない,ふれて,ふれないで,ふれよ,ふれる な,ふれよう,,ふれれば,ふれなければ,ふれさせる,ふれさせない,ふれちゃう,,ふれちまう,,ふれ,,ふれなさい,,ふれられる,ふれられない,ふれたら,ふれなかったら,837.0,振る,ふる
払う,はらう,はらわない,はらった,はらわなかった,はらいます,はらいません,はらいました,はらいません でした,はらえる,はらえない,はらって,はらわないで,はらえ,はらう な,はらおう,,はらえば,はらわなければ,はらわせる,はらわせない,はらっちゃう,,はらっちまう,,はらい,,はらいなさい,,はらわれる,はらわれない,はらったら,はらわなかったら,848.0,表わす,あらわす
遊ぶ,すさぶ,すさばない,すさんだ,すさばなかった,すさびます,すさびません,すさびました,すさびません でした,すさべる,すさべない,すさんで,すさばないで,すさべ,すさぶ な,すさぼう,,すさべば,すさばなければ,すさばせる,すさばせない,すさんじゃう,,すさんじまう,,すさび,,すさびなさい,,すさばれる,すさばれない,すさんだら,すさばなかったら,851.0,通す,とおす
頼む,たのむ,たのまない,たのんだ,たのまなかった,たのみます,たのみません,たのみました,たのみません でした,たのめる,たのめない,たのんで,たのまないで,たのめ,たのむ な,たのもう,,たのめば,たのまなければ,たのませる,たのませない,たのんじゃう,,たのんじまう,,たのみ,,たのみなさい,,たのまれる,たのまれない,たのんだら,たのまなかったら,862.0,致す,いたす
頑張る,がんばる,がんばらない,がんばった,がんばらなかった,がんばります,がんばりません,がんばりました,がんばりません でした,がんばれる,がんばれない,がんばって,がんばらないで,がんばれ,がんばる な,がんばろう,,がんばれば,がんばらなければ,がんばらせる,がんばらせない,がんばっちゃう,,がんばっちまう,,がんばり,,がんばりなさい,,がんばられる,がんばられない,がんばったら,がんばらなかったら,865.0,基づく,もとづく
抱く,いだく,いだかない,いだいた,いだかなかった,いだきます,いだきません,いだきました,いだきません でした,いだける,いだけない,いだいて,いだかないで,いだけ,いだく な,いだこう,,いだけば,いだかなければ,いだかせる,いだかせない,いだいちゃう,,いだいちまう,,いだき,,いだきなさい,,いだかれる,いだかれない,いだいたら,いだかなかったら,870.0,消える,きえる
楽しむ,たのしむ,たのしまない,たのしんだ,たのしまなかった,たのしみます,たのしみません,たのしみました,たのしみません でした,たのしめる,たのしめない,たのしんで,たのしまないで,たのしめ,たのしむ な,たのしもう,,たのしめば,たのしまなければ,たのしませる,たのしませない,たのしんじゃう,,たのしんじまう,,たのしみ,,たのしみなさい,,たのしまれる,たのしまれない,たのしんだら,たのしまなかったら,876.0,尋ねる,たずねる
流れる,ながれる,ながれない,ながれた,ながれなかった,ながれます,ながれません,ながれました,ながれません でした,ながれられる,ながれられない,ながれて,ながれないで,ながれよ,ながれる な,ながれよう,,ながれれば,ながれなければ,ながれさせる,ながれさせない,ながれちゃう,,ながれちまう,,ながれ,,ながれなさい,,ながれられる,ながれられない,ながれたら,ながれなかったら,894.0,見付ける,みつける
捨てる,すてる,すてない,すてた,すてなかった,すてます,すてません,すてました,すてません でした,すてられる,すてられない,すてて,すてないで,すてよ,すてる な,すてよう,,すてれば,すてなければ,すてさせる,すてさせない,すてちゃう,,すてちまう,,すて,,すてなさい,,すてられる,すてられない,すてたら,すてなかったら,897.0,触れる,ふれる
着る,きる,きない,きた,きなかった,きます,きません,きました,きません でした,きられる,きられない,きて,きないで,きよ,きる な,きよう,,きれば,きなければ,きさせる,きさせない,きちゃう,,きちまう,,き,,きなさい,,きられる,きられない,きたら,きなかったら,911.0,払う,はらう
迎える,むかえる,むかえない,むかえた,むかえなかった,むかえます,むかえません,むかえました,むかえません でした,むかえられる,むかえられない,むかえて,むかえないで,むかえよ,むかえる な,むかえよう,,むかえれば,むかえなければ,むかえさせる,むかえさせない,むかえちゃう,,むかえちまう,,むかえ,,むかえなさい,,むかえられる,むかえられない,むかえたら,むかえなかったら,912.0,遊ぶ,あそぶ
とれる,とれる,とれない,とれた,とれなかった,とれます,とれません,とれました,とれません でした,とれられる,とれられない,とれて,とれないで,とれよ,とれる な,とれよう,,とれれば,とれなければ,とれさせる,とれさせない,とれちゃう,,とれちまう,,とれ,,とれなさい,,とれられる,とれられない,とれたら,とれなかったら,914.0,頼む,たのむ
押す,おす,おさない,おした,おさなかった,おします,おしません,おしました,おしません でした,おせる,おせない,おして,おさないで,おせ,おす な,おそう,,おせば,おさなければ,おさせる,おさせない,おしちゃう,,おしちまう,,おし,,おしなさい,,おされる,おされない,おしたら,おさなかったら,919.0,頑張る,がんばる
超える,こえる,こえない,こえた,こえなかった,こえます,こえません,こえました,こえません でした,こえられる,こえられない,こえて,こえないで,こえよ,こえる な,こえよう,,こえれば,こえなければ,こえさせる,こえさせない,こえちゃう,,こえちまう,,こえ,,こえなさい,,こえられる,こえられない,こえたら,こえなかったら,924.0,抱く,いだく
並ぶ,ならぶ,ならばない,ならんだ,ならばなかった,ならびます,ならびません,ならびました,ならびません でした,ならべる,ならべない,ならんで,ならばないで,ならべ,ならぶ な,ならぼう,,ならべば,ならばなければ,ならばせる,ならばせない,ならんじゃう,,ならんじまう,,ならび,,ならびなさい,,ならばれる,ならばれない,ならんだら,ならばなかったら,932.0,楽しむ,たのしむ
定める,さだめる,さだめない,さだめた,さだめなかった,さだめます,さだめません,さだめました,さだめません でした,さだめられる,さだめられない,さだめて,さだめないで,さだめよ,さだめる な,さだめよう,,さだめれば,さだめなければ,さだめさせる,さだめさせない,さだめちゃう,,さだめちまう,,さだめ,,さだめなさい,,さだめられる,さだめられない,さだめたら,さだめなかったら,946.0,流れる,ながれる
学ぶ,まなぶ,まなばない,まなんだ,まなばなかった,まなびます,まなびません,まなびました,まなびません でした,まなべる,まなべない,まなんで,まなばないで,まなべ,まなぶ な,まなぼう,,まなべば,まなばなければ,まなばせる,まなばせない,まなんじゃう,,まなんじまう,,まなび,,まなびなさい,,まなばれる,まなばれない,まなんだら,まなばなかったら,957.0,捨てる,すてる
うなずく,うなずく,うなずかない,うなずいた,うなずかなかった,うなずきます,うなずきません,うなずきました,うなずきません でした,うなずける,うなずけない,うなずいて,うなずかないで,うなずけ,うなずく な,うなずこう,,うなずけば,うなずかなければ,うなずかせる,うなずかせない,うなずいちゃう,,うなずいちまう,,うなずき,,うなずきなさい,,うなずかれる,うなずかれない,うなずいたら,うなずかなかったら,960.0,着る,きる
通る,とおる,とおらない,とおった,とおらなかった,とおります,とおりません,とおりました,とおりません でした,とおれる,とおれない,とおって,とおらないで,とおれ,とおる な,とおろう,,とおれば,とおらなければ,とおらせる,とおらせない,とおっちゃう,,とおっちまう,,とおり,,とおりなさい,,とおられる,とおられない,とおったら,とおらなかったら,978.0,迎える,むかえる
運ぶ,はこぶ,はこばない,はこんだ,はこばなかった,はこびます,はこびません,はこびました,はこびません でした,はこべる,はこべない,はこんで,はこばないで,はこべ,はこぶ な,はこぼう,,はこべば,はこばなければ,はこばせる,はこばせない,はこんじゃう,,はこんじまう,,はこび,,はこびなさい,,はこばれる,はこばれない,はこんだら,はこばなかったら,986.0,取れる,とれる
伴う,ともなう,ともなわない,ともなった,ともなわなかった,ともないます,ともないません,ともないました,ともないません でした,ともなえる,ともなえない,ともなって,ともなわないで,ともなえ,ともなう な,ともなおう,,ともなえば,ともなわなければ,ともなわせる,ともなわせない,ともなっちゃう,,ともなっちまう,,ともない,,ともないなさい,,ともなわれる,ともなわれない,ともなったら,ともなわなかったら,1012.0,押す,おす
広がる,ひろがる,ひろがらない,ひろがった,ひろがらなかった,ひろがります,ひろがりません,ひろがりました,ひろがりません でした,ひろがれる,ひろがれない,ひろがって,ひろがらないで,ひろがれ,ひろがる な,ひろがろう,,ひろがれば,ひろがらなければ,ひろがらせる,ひろがらせない,ひろがっちゃう,,ひろがっちまう,,ひろがり,,ひろがりなさい,,ひろがられる,ひろがられない,ひろがったら,ひろがらなかったら,1016.0,超える,こえる
